District,TotMathStatMajor,TotAgricultureMaj,TotComputingMaj,TotJournalismMajor,TotOtherMajors,TotUkMajor,Totgrads,TotHumanitiesMajors,TotBusinessMaj,TotEduMajor,TotScienceMajors,TotHealthMajors,TotEngineerMajors,TotLawMajors,TotSocialSciMajors,MaleMathMajors,MaleAgricultureMajor,MaleComputingMajor,MaleJournalismMajor,MaleOtherMajor,MaleukMajor,TotMalegrads,MaleHumanitiesMajor,MaleBusinessMajor,MaleEducationMajor,MaleScienceMajor,MaleHealthMajor,MaleEngineerMajors,MaleLawMajor,MaleSocialscienceMajor,FemaleMathMajor,FemaleAgriMajor,FemaleComputingMajor,FemaleJournalismMajor,FemaleOtherMajor,FemaleUnknownmajor,FemaleTotalGrads,FemaleHumanitiesMajor,FemaleBusinessMajor,FemaleEducationMajor,FemaleScienceMajor,FemaleHealthMajor,FemaleEngineerMajor,FemaleLawMajor,FemaleSocialScienceMajor
Khotang,97,32,4,0,0,1252,5999,2042,348,1489,132,40,16,71,476,85,19,4,0,0,702,3679,1269,271,809,115,23,14,52,316,12,13,0,0,0,550,2320,773,77,680,17,17,2,19,160
Udayapur,106,51,24,2,18,1325,10537,2768,1338,3818,407,109,59,162,350,90,35,19,0,15,744,6194,1664,1018,1749,352,71,56,147,234,16,16,5,2,3,581,4343,1104,320,2069,55,38,3,15,116
Saptari,667,200,71,2,29,7149,32807,6667,3364,8354,3974,674,518,416,722,593,171,60,1,27,5027,23215,4508,2751,4871,3384,429,484,366,543,74,29,11,1,2,2122,9592,2159,613,3483,590,245,34,50,179
Siraha,552,126,46,2,22,7626,25020,5378,2171,5176,2393,569,255,195,509,490,105,39,2,19,5465,18314,3787,1823,3326,2092,359,239,180,388,62,21,7,0,3,2161,6706,1591,348,1850,301,210,16,15,121
Dhanusa,648,211,101,2,17,9849,37421,7889,5869,5793,4381,891,748,287,735,537,181,91,2,15,7119,27181,5499,4611,3453,3600,613,709,245,506,111,30,10,0,2,2730,10240,2390,1258,2340,781,278,39,42,229
Mahottari,293,136,40,6,16,5959,20768,4090,2706,3819,2210,472,292,196,533,259,116,35,5,15,4333,15263,2877,2272,2250,1924,317,268,177,415,34,20,5,1,1,1626,5505,1213,434,1569,286,155,24,19,118
Sarlahi,507,123,84,2,8,6379,25320,5173,3713,5449,2091,409,259,261,862,435,101,73,1,8,4443,17741,3449,2988,3077,1808,320,239,225,574,72,22,11,1,0,1936,7579,1724,725,2372,283,89,20,36,288
Sindhuli,139,34,9,2,1,1563,9267,2123,676,3775,236,199,51,67,392,116,26,5,1,1,956,5558,1270,515,2002,190,94,46,57,279,23,8,4,1,0,607,3709,853,161,1773,46,105,5,10,113
Ramechhap,149,17,8,3,11,1734,6686,1970,409,1661,172,125,25,58,344,118,9,4,1,6,921,3769,1082,306,867,135,49,20,50,201,31,8,4,2,5,813,2917,888,103,794,37,76,5,8,143
Dolakha,136,28,24,18,0,1257,6449,1702,656,1881,210,136,38,64,299,115,26,23,8,0,673,3794,984,461,994,174,68,35,47,186,21,2,1,10,0,584,2655,718,195,887,36,68,3,17,113
Sindhupalchok,169,34,18,4,0,2388,8462,1666,1035,2429,240,83,48,62,286,131,25,14,3,0,1375,5052,1011,726,1227,202,43,45,48,202,38,9,4,1,0,1013,3410,655,309,1202,38,40,3,14,84
Kavrepalanchok,178,87,77,22,6,5076,22802,3921,5560,4257,2044,436,292,231,615,147,59,67,16,6,2884,13357,2381,3530,1913,1412,161,247,181,353,31,28,10,6,0,2192,9445,1540,2030,2344,632,275,45,50,262
Lalitpur,411,401,631,169,38,11075,97326,21973,35705,5032,10157,2282,4146,1036,4270,320,302,514,95,29,6309,57010,11314,21598,2024,6854,921,3551,807,2372,91,99,117,74,9,4766,40316,10659,14107,3008,3303,1361,595,229,1898
Bhaktapur,247,228,224,109,16,6614,52069,12644,16915,3897,5180,1231,1862,875,2027,190,183,190,72,8,3862,31000,7105,10363,1566,3521,405,1596,706,1233,57,45,34,37,8,2752,21069,5539,6552,2331,1659,826,266,169,794
Kathmandu,2383,1313,2435,1111,228,43285,433391,100702,159339,31391,43455,10299,12594,5969,18887,1863,965,1932,702,146,25635,259605,52897,101265,13518,29924,4154,10814,4934,10856,520,348,503,409,82,17650,173786,47805,58074,17873,13531,6145,1780,1035,8031
Nuwakot,92,38,10,7,1,3046,10059,2349,1491,2033,286,167,37,61,441,75,22,9,4,1,1686,5839,1470,982,947,247,72,30,43,251,17,16,1,3,0,1360,4220,879,509,1086,39,95,7,18,190
Rasuwa,33,7,3,1,0,236,1569,242,152,637,48,88,21,6,95,30,7,2,1,0,133,1026,181,122,371,43,47,20,6,63,3,0,1,0,0,103,543,61,30,266,5,41,1,0,32
Dhading,146,41,18,14,2,2035,9851,2053,1605,3069,321,114,32,83,318,118,30,14,10,2,1093,5673,1242,1052,1482,276,56,30,73,195,28,11,4,4,0,942,4178,811,553,1587,45,58,2,10,123
Makwanpur,192,126,65,32,11,1795,19872,3993,6444,4568,998,357,276,164,851,154,100,56,21,8,1093,12095,2360,4511,1968,777,171,248,137,491,38,26,9,11,3,702,7777,1633,1933,2600,221,186,28,27,360
Rautahat,387,79,75,1,17,7088,23425,3433,1950,6709,1574,973,236,175,728,343,66,64,0,16,4916,16716,2423,1642,4395,1354,632,217,158,490,44,13,11,1,1,2172,6709,1010,308,2314,220,341,19,17,238
Bara,419,82,68,6,2,4824,22360,3803,4248,5384,1630,865,181,153,695,360,66,59,3,2,3347,15966,2657,3501,3350,1400,437,175,124,485,59,16,9,3,0,1477,6394,1146,747,2034,230,428,6,29,210
Parsa,461,140,122,6,22,5871,32376,5449,9518,4869,3496,682,524,258,958,413,117,99,3,19,4284,23155,3609,7202,2926,2679,454,477,221,652,48,23,23,3,3,1587,9221,1840,2316,1943,817,228,47,37,306
Chitawan,488,616,157,58,21,5820,49768,8797,16196,8325,4129,2499,554,417,1691,381,515,124,21,16,3352,28626,4952,10306,3074,3023,993,506,353,1010,107,101,33,37,5,2468,21142,3845,5890,5251,1106,1506,48,64,681
Gorkha,146,79,11,14,2,1728,8080,1450,1036,2880,287,131,67,50,199,111,66,9,9,1,938,4656,901,700,1394,231,59,62,42,133,35,13,2,5,1,790,3424,549,336,1486,56,72,5,8,66
