District,Total_EducationLevel_Other,Total_Nonformal_Education,Total__Education_Unknown,Total_Educated,Total_Educated_Beginner,Total_Educated_Primary,Total_EducatedLowerSecondary,Total_EducatedSecondary,Total_EducatedSLC,Total_EducatedIntermediate,Total_EducatedGraduate,Total_PostGrad,MaleEducatedOther,MaleNonFormalEducation,MaleEducationUnknown,Total_MaleEducated,MaleBeginnerEducation,MalePrimaryEducation,MaleLowSecondaryEducation,MaleSecondaryEducation,MaleSLCEducation,MaleIntermidiateEducation,MaleGraduateEducation,MalePostGraduate,FemaleOtherEducation,FemalNonFomalEducation,FemaleEducationUnKnown,Total_FemaleEducated,FemaleEducationBeginner,FemalePrimaryEducation,FemaleLowerSecondaryEducation,FemaleSecondaryEducation,FemaleSLCEducation,FemaleIntermediateEducation,FemaleGraduateLevel,FemalePostGraduate
Baglung,68,12362,656,176853,7576,72225,36428,19026,17989,7549,2321,653,35,4655,282,85517,4058,35713,16671,9266,8897,3828,1558,554,33,7707,374,91336,3518,36512,19757,9760,9092,3721,763,99
Gulmi,65,11924,405,187823,9849,76782,40000,21272,18629,6226,1998,673,38,5137,187,89411,5350,37352,17836,9594,8643,3252,1423,599,27,6787,218,98412,4499,39430,22164,11678,9986,2974,575,74
Palpa,70,10254,477,184992,6072,76297,41077,21898,16400,8438,2970,1039,33,4061,232,90063,3248,37707,19093,10186,8322,4451,1906,824,37,6193,245,94929,2824,38590,21984,11712,8078,3987,1064,215
Nawalparasi,187,16011,1696,423054,21416,172270,94038,52055,35196,21284,6902,1999,100,6394,813,223317,11658,90927,49128,27185,19405,11694,4418,1595,87,9617,883,199737,9758,81343,44910,24870,15791,9590,2484,404
Rupandehi,572,14843,2830,569029,23069,219707,122040,73551,51931,39299,16410,4777,239,6076,1460,315030,12683,118396,69506,41722,28738,22095,10491,3624,333,8767,1370,253999,10386,101311,52534,31829,23193,17204,5919,1153
Kapilbastu,733,4818,1243,289988,13429,142797,59270,27965,21372,12369,4654,1338,288,2410,628,170056,7325,79890,36854,18151,12374,7889,3199,1048,445,2408,615,119932,6104,62907,22416,9814,8998,4480,1455,290
Arghakhanchi,139,7443,382,131808,5492,54642,27179,15011,15711,3983,1386,440,69,3689,212,63294,2919,26878,12324,6572,7096,2173,987,375,70,3754,170,68514,2573,27764,14855,8439,8615,1810,399,65
Pyuthan,77,9745,473,138034,9449,70392,25096,9445,8178,3832,1043,304,39,3336,219,69142,4993,35286,12314,5164,4524,2177,834,256,38,6409,254,68892,4456,35106,12782,4281,3654,1655,209,48
Rolpa,78,7224,378,122360,8273,68551,21099,7890,5233,2659,820,155,37,2915,195,65745,4133,36143,11711,4788,3307,1697,683,136,41,4309,183,56615,4140,32408,9388,3102,1926,962,137,19
Rukum,56,4584,498,117155,5354,56234,23807,11884,7725,5004,1638,371,32,1907,239,63293,2771,29329,13112,6735,4557,3106,1201,304,24,2677,259,53862,2583,26905,10695,5149,3168,1898,437,67
Salyan,121,4375,710,143062,8094,69417,31711,13470,8522,5326,1061,255,58,1931,397,78151,4266,37200,17084,7647,5260,3239,843,226,63,2444,313,64911,3828,32217,14627,5823,3262,2087,218,29
Dang,322,17531,1541,357563,17930,146092,80445,39559,29949,16603,6005,1586,161,7838,775,187809,9643,75688,40392,21106,16785,9778,4310,1333,161,9693,766,169754,8287,70404,40053,18453,13164,6825,1695,253
Banke,813,9605,1112,283558,12122,115027,59020,31338,26932,17379,7862,2348,387,3839,543,157399,6601,63025,32918,18220,14808,10160,5171,1727,426,5766,569,126159,5521,52002,26102,13118,12124,7219,2691,621
Bardiya,214,13592,269,260553,13463,111108,62668,26991,20229,8887,2515,617,145,5087,129,139766,7156,59666,33190,15121,11603,5327,1812,530,69,8505,140,120787,6307,51442,29478,11870,8626,3560,703,87
Surkhet,226,12619,982,233794,9744,100274,53158,24750,18615,9198,3279,949,130,4849,427,125511,5087,52772,28429,13946,11183,5572,2342,774,96,7770,555,108283,4657,47502,24729,10804,7432,3626,937,175
Dailekh,104,5539,582,146520,6092,70298,31479,15558,9733,5631,1174,330,62,2402,299,81901,3113,37452,18107,9488,6140,3637,924,277,42,3137,283,64619,2979,32846,13372,6070,3593,1994,250,53
Jajarkot,88,2911,287,88929,6342,43129,17320,8657,5778,3522,769,126,52,1378,132,50653,3218,23228,10023,5489,3949,2456,610,118,36,1533,155,38276,3124,19901,7297,3168,1829,1066,159,8
Dolpa,34,686,88,17895,1603,8474,2899,1529,1467,813,246,56,30,406,48,11077,825,4695,1972,1111,1112,599,226,53,4,280,40,6818,778,3779,927,418,355,214,20,3
Jumla,40,1590,76,54759,4891,25502,10248,4953,4656,1953,708,142,30,750,38,34059,2479,14445,7016,3679,3323,1549,618,132,10,840,38,20700,2412,11057,3232,1274,1333,404,90,10
Kalikot,63,2944,282,69177,4629,34556,13107,5569,4358,2886,672,111,45,1587,148,41044,2413,18492,8359,3903,3242,2171,580,104,18,1357,134,28133,2216,16064,4748,1666,1116,715,92,7
Mugu,86,353,247,25231,1044,12633,5242,2505,1684,1110,266,61,72,202,153,16077,553,7077,3461,1952,1404,907,241,55,14,151,94,9154,491,5556,1781,553,280,203,25,6
Humla,16,635,26,22418,2766,9976,3823,2175,1661,1037,238,65,11,434,16,14540,1363,5863,2668,1730,1317,854,222,62,5,201,10,7878,1403,4113,1155,445,344,183,16,3
Bajura,91,1451,272,69169,6413,35592,12752,5778,3747,2333,568,172,61,628,130,40995,3336,19220,8389,4080,2806,1676,510,159,30,823,142,28174,3077,16372,4363,1698,941,657,58,13
Bajhang,70,3298,332,98720,7268,50395,17342,8237,5626,4555,1348,249,44,1388,183,60257,3761,28363,11816,5859,4199,3262,1141,241,26,1910,149,38463,3507,22032,5526,2378,1427,1293,207,8
Achham,106,6399,562,130505,9734,64422,23483,11612,7085,5512,1314,276,62,3088,309,75473,5010,34577,14263,7694,5095,3975,1144,256,44,3311,253,55032,4724,29845,9220,3918,1990,1537,170,20
Doti,100,3482,299,110172,10808,55173,19489,8983,6582,3697,1176,383,53,1319,157,63962,5576,30342,12124,5782,4551,2702,1008,348,47,2163,142,46210,5232,24831,7365,3201,2031,995,168,35
Kailali,399,20949,1386,480134,29624,195099,104806,58983,36052,22985,7481,2370,221,8122,715,266803,15842,105829,58021,34213,21834,14642,5410,1954,178,12827,671,213331,13782,89270,46785,24770,14218,8343,2071,416
Kanchanpur,259,9820,1865,293873,12503,120738,66798,35265,21965,16561,6006,2093,133,4135,926,160416,7033,63468,36192,19956,12639,10059,4169,1706,126,5685,939,133457,5470,57270,30606,15309,9326,6502,1837,387
Dadeldhura,91,2116,284,85603,4780,40025,19750,9280,4406,3485,1052,334,57,925,147,48124,2517,21058,11294,5843,2859,2291,827,306,34,1191,137,37479,2263,18967,8456,3437,1547,1194,225,28
Baitadi,136,4509,514,144321,8225,68913,30118,15351,8476,6020,1521,538,75,1756,256,83004,4104,37436,17994,10026,5512,4016,1327,502,61,2753,258,61317,4121,31477,12124,5325,2964,2004,194,36
Darchula,91,1632,273,80321,4908,36036,16363,8890,6044,4272,1383,429,52,613,144,45758,2471,19326,9703,5605,3845,2623,1003,373,39,1019,129,34563,2437,16710,6660,3285,2199,1649,380,56
